beta,PSNR, noise_p
0.8,0.05267053792094411, 0.3
0.9,0.0844521629989824, 0.3
1.0,0.11067939688639118, 0.3
1.1,0.13708046338238675, 0.3
1.2,0.1476143866473059, 0.3
1.3,0.1552033467588471, 0.3
1.4,0.19483464455276958, 0.3
1.5,0.19924534752259965, 0.3
1.6,0.20344633264522533, 0.3
1.7,0.2075168704577341, 0.3
0.8,-1.0080701943023735, 0.4
0.9,-0.9766544293727314, 0.4
1.0,-0.9777581645532686, 0.4
1.1,-0.9579051665054407, 0.4
1.2,-0.9474886853755202, 0.4
1.3,-0.9397140657554572, 0.4
1.4,-0.9392514885989893, 0.4
1.5,-0.9291158359091332, 0.4
1.6,-0.9250234918715154, 0.4
1.7,-0.9157403190403028, 0.4
