beta,wrong pixels, noise_p
0.8,0.4113908148148148, 0.2
0.9,0.4105422222222222, 0.2
1.0,0.40993362962962965, 0.2
1.1,0.40881955555555555, 0.2
1.2,0.40795674074074073, 0.2
1.3,0.40780977777777777, 0.2
1.4,0.40734103703703706, 0.2
1.5,0.40678755555555557, 0.2
1.6,0.40646044444444446, 0.2
1.7,0.40654814814814816, 0.2
0.8,0.46200592592592593, 0.3
0.9,0.4603620740740741, 0.3
1.0,0.4596017777777778, 0.3
1.1,0.4581617777777778, 0.3
1.2,0.45805866666666667, 0.3
1.3,0.4577961481481482, 0.3
1.4,0.4558808888888889, 0.3
1.5,0.45587614814814814, 0.3
1.6,0.4552551111111111, 0.3
1.7,0.45554666666666666, 0.3
0.8,0.5040266666666666, 0.4
0.9,0.5027265185185186, 0.4
1.0,0.5032758518518519, 0.4
1.1,0.5015514074074074, 0.4
1.2,0.5013114074074074, 0.4
1.3,0.5005688888888888, 0.4
1.4,0.5005362962962963, 0.4
1.5,0.5002968888888889, 0.4
1.6,0.5001398518518518, 0.4
1.7,0.4992675555555556, 0.4
